Date,Price
2023-02-24,302.3
2023-02-25,302.4
2023-02-26,308.7
2023-02-27,304.6
2023-02-28,301.4
2023-03-01,302.7
2023-03-02,299.8
2023-03-03,290.4
2023-03-04,289.6
2023-03-05,288.7
2023-03-06,287.8
2023-03-07,289.3
2023-03-08,287.1
2023-03-09,277.1
2023-03-10,277.4
2023-03-11,276.0
2023-03-12,288.1
2023-03-13,307.9
2023-03-14,308.4
2023-03-15,306.3
2023-03-16,329.4
2023-03-17,338.9
2023-03-18,331.0
2023-03-19,336.7
2023-03-20,332.5
2023-03-21,334.4
2023-03-22,321.1
2023-03-23,329.4
2023-03-24,322.1
2023-03-25,322.4
2023-03-26,328.6
2023-03-27,310.6
2023-03-28,313.2
2023-03-29,313.7
2023-03-30,316.4
2023-03-31,316.9
2023-04-01,314.9
2023-04-02,313.7
2023-04-03,308.8
2023-04-04,310.8
2023-04-05,313.9
2023-04-06,312.3
2023-04-07,310.3
2023-04-08,310.5
2023-04-09,312.8
2023-04-10,318.5
2023-04-11,322.3
2023-04-12,319.9
2023-04-13,324.7
2023-04-14,328.9
2023-04-15,333.0
2023-04-16,347.7
2023-04-17,340.0
2023-04-18,343.1
2023-04-19,322.4
2023-04-20,318.1
2023-04-21,321.2
2023-04-22,332.2
2023-04-23,330.7
2023-04-24,331.2
2023-04-25,338.4
2023-04-26,330.6
2023-04-27,330.9
2023-04-28,324.1
2023-04-29,321.9
2023-04-30,337.5
2023-05-01,328.5
2023-05-02,321.5
2023-05-03,325.9
2023-05-04,323.8
2023-05-05,326.5
2023-05-06,321.9
2023-05-07,321.0
2023-05-08,313.8
2023-05-09,312.1
2023-05-10,314.3
2023-05-11,307.5
2023-05-12,308.5
2023-05-13,310.7
2023-05-14,312.1
2023-05-15,313.4
2023-05-16,311.4
2023-05-17,314.3
2023-05-18,309.3
2023-05-19,308.9
2023-05-20,310.6
2023-05-21,306.4
2023-05-22,309.0
2023-05-23,313.5
2023-05-24,306.0
2023-05-25,304.5
2023-05-26,306.8
2023-05-27,307.4
2023-05-28,314.1
2023-05-29,311.6
2023-05-30,311.5
2023-05-31,306.8
2023-06-01,304.9
2023-06-02,307.2
2023-06-03,306.6
2023-06-04,305.0
2023-06-05,276.9
2023-06-06,281.2
2023-06-07,259.3
2023-06-08,262.0
2023-06-09,260.5
2023-06-10,238.7
2023-06-11,235.4
2023-06-12,231.3
2023-06-13,244.2
2023-06-14,237.9
2023-06-15,236.4
2023-06-16,239.3
2023-06-17,244.5
2023-06-18,244.1
2023-06-19,243.1
2023-06-20,247.7
2023-06-21,248.8
2023-06-22,240.8
2023-06-23,244.3
2023-06-24,236.4
2023-06-25,238.8
2023-06-26,236.1
2023-06-27,237.5
2023-06-28,230.6
2023-06-29,233.1
2023-06-30,240.3
2023-07-01,247.9
2023-07-02,246.5
2023-07-03,246.5
2023-07-04,242.5
2023-07-05,238.9
2023-07-06,232.2
2023-07-07,235.6
2023-07-08,236.3
2023-07-09,234.1
2023-07-10,246.2
2023-07-11,248.6
2023-07-12,243.9
2023-07-13,256.1
2023-07-14,248.1
2023-07-15,251.1
2023-07-16,242.3
2023-07-17,244.1
2023-07-18,240.2
2023-07-19,240.8
2023-07-20,242.8
2023-07-21,243.7
2023-07-22,241.1
2023-07-23,242.5
2023-07-24,238.9
2023-07-25,237.7
2023-07-26,239.0
2023-07-27,240.6
2023-07-28,241.9
2023-07-29,242.4
2023-07-30,242.5
2023-07-31,241.0
2023-08-01,247.7
2023-08-02,240.7
2023-08-03,241.1
2023-08-04,241.7
2023-08-05,243.2
2023-08-06,243.2
2023-08-07,242.1
2023-08-08,245.2
2023-08-09,243.8
2023-08-10,241.5
2023-08-11,239.7
2023-08-12,240.3
2023-08-13,240.2
2023-08-14,240.4
2023-08-15,236.7
2023-08-16,232.0
2023-08-17,218.1
2023-08-18,216.1
2023-08-19,216.8
2023-08-20,216.5
2023-08-21,210.4
2023-08-22,210.9
2023-08-23,216.6
2023-08-24,219.0
2023-08-25,218.4
2023-08-26,216.5
2023-08-27,218.4
2023-08-28,218.8
2023-08-29,226.9
2023-08-30,223.8
2023-08-31,216.7
2023-09-01,213.7
2023-09-02,214.4
2023-09-03,214.4
2023-09-04,215.2
2023-09-05,214.6
2023-09-06,215.2
2023-09-07,217.1
2023-09-08,214.7
2023-09-09,214.1
2023-09-10,212.4
2023-09-11,206.1
2023-09-12,210.7
2023-09-13,212.5
2023-09-14,212.2
2023-09-15,214.1
2023-09-16,214.9
2023-09-17,216.5
2023-09-18,216.0
2023-09-19,217.2
2023-09-20,214.4
2023-09-21,210.8
2023-09-22,211.1
2023-09-23,210.5
2023-09-24,208.3
2023-09-25,209.9
2023-09-26,212.6
2023-09-27,212.0
2023-09-28,215.0
2023-09-29,215.2
2023-09-30,214.6
2023-10-01,218.2
2023-10-02,214.6
2023-10-03,213.5
2023-10-04,213.4
2023-10-05,210.6
2023-10-06,213.4
2023-10-07,212.3
2023-10-08,211.4
2023-10-09,205.8
2023-10-10,208.6
2023-10-11,206.6
2023-10-12,205.1
2023-10-13,206.1
2023-10-14,206.5
2023-10-15,209.7
2023-10-16,214.6
2023-10-17,211.4
2023-10-18,210.2
2023-10-19,211.2
2023-10-20,212.1
2023-10-21,214.2
2023-10-22,217.8
2023-10-23,228.5
2023-10-24,225.2
2023-10-25,222.1
2023-10-26,223.2
2023-10-27,224.1
2023-10-28,225.7
2023-10-29,227.1
2023-10-30,228.0
2023-10-31,226.2
2023-11-01,227.9
2023-11-02,231.9
2023-11-03,230.2
2023-11-04,237.1
2023-11-05,244.0
2023-11-06,255.1
2023-11-07,246.2
2023-11-08,246.7
2023-11-09,251.6
2023-11-10,251.0
2023-11-11,251.5
2023-11-12,247.4
2023-11-13,241.1
2023-11-14,242.3
2023-11-15,253.7
2023-11-16,242.7
2023-11-17,244.9
2023-11-18,244.8
2023-11-19,246.4
2023-11-20,253.1
2023-11-21,225.5
2023-11-22,236.1
2023-11-23,233.8
2023-11-24,232.7
2023-11-25,234.4
2023-11-26,231.7
2023-11-27,227.2
2023-11-28,229.6
2023-11-29,227.3
2023-11-30,227.6
2023-12-01,228.5
2023-12-02,229.0
2023-12-03,228.1
2023-12-04,233.5
2023-12-05,231.2
2023-12-06,229.4
2023-12-07,232.6
2023-12-08,238.9
2023-12-09,237.7
2023-12-10,239.8
2023-12-11,246.4
2023-12-12,254.6
