Date,Price
2023-02-24,23185.29
2023-02-25,23157.07
2023-02-26,23554.85
2023-02-27,23492.09
2023-02-28,23141.57
2023-03-01,23628.97
2023-03-02,23465.32
2023-03-03,22354.34
2023-03-04,22346.57
2023-03-05,22430.24
2023-03-06,22410.0
2023-03-07,22197.96
2023-03-08,21705.44
2023-03-09,20362.22
2023-03-10,20150.69
2023-03-11,20455.73
2023-03-12,21997.11
2023-03-13,24113.48
2023-03-14,24670.41
2023-03-15,24285.66
2023-03-16,24998.78
2023-03-17,27395.13
2023-03-18,26907.49
2023-03-19,27972.87
2023-03-20,27717.01
2023-03-21,28105.47
2023-03-22,27250.97
2023-03-23,28295.41
2023-03-24,27454.47
2023-03-25,27462.95
2023-03-26,27968.05
2023-03-27,27124.91
2023-03-28,27261.07
2023-03-29,28348.6
2023-03-30,28028.53
2023-03-31,28465.36
2023-04-01,28452.73
2023-04-02,28171.87
2023-04-03,27800.0
2023-04-04,28165.47
2023-04-05,28170.01
2023-04-06,28033.82
2023-04-07,27906.33
2023-04-08,27938.38
2023-04-09,28323.76
2023-04-10,29637.34
2023-04-11,30200.42
2023-04-12,29888.07
2023-04-13,30373.84
2023-04-14,30466.93
2023-04-15,30295.09
2023-04-16,30304.65
2023-04-17,29430.27
2023-04-18,30380.01
2023-04-19,28797.1
2023-04-20,28243.65
2023-04-21,27262.84
2023-04-22,27816.85
2023-04-23,27590.6
2023-04-24,27510.93
2023-04-25,28300.79
2023-04-26,28415.29
2023-04-27,29472.77
2023-04-28,29311.7
2023-04-29,29230.45
2023-04-30,29233.21
2023-05-01,28068.26
2023-05-02,28669.86
2023-05-03,29026.16
2023-05-04,28838.16
2023-05-05,29505.61
2023-05-06,28848.2
2023-05-07,28430.1
2023-05-08,27668.79
2023-05-09,27628.27
2023-05-10,27598.75
2023-05-11,26968.62
2023-05-12,26795.01
2023-05-13,26775.28
2023-05-14,26917.62
2023-05-15,27162.14
2023-05-16,27033.84
2023-05-17,27405.61
2023-05-18,26821.28
2023-05-19,26880.26
2023-05-20,27102.43
2023-05-21,26747.78
2023-05-22,26849.27
2023-05-23,27219.61
2023-05-24,26329.01
2023-05-25,26473.79
2023-05-26,26705.92
2023-05-27,26854.27
2023-05-28,28065.0
2023-05-29,27736.4
2023-05-30,27694.4
2023-05-31,27210.35
2023-06-01,26817.93
2023-06-02,27242.59
2023-06-03,27069.22
2023-06-04,27115.21
2023-06-05,25728.2
2023-06-06,27230.08
2023-06-07,26339.34
2023-06-08,26498.61
2023-06-09,26477.81
2023-06-10,25841.21
2023-06-11,25925.55
2023-06-12,25905.19
2023-06-13,25934.25
2023-06-14,25128.6
2023-06-15,25598.49
2023-06-16,26345.0
2023-06-17,26516.99
2023-06-18,26339.97
2023-06-19,26844.35
2023-06-20,28307.99
2023-06-21,29993.89
2023-06-22,29884.92
2023-06-23,30688.5
2023-06-24,30527.43
2023-06-25,30462.66
2023-06-26,30267.99
2023-06-27,30692.44
2023-06-28,30077.41
2023-06-29,30447.31
2023-06-30,30472.0
2023-07-01,30585.9
