Date,Price
2023-02-24,7.466
2023-02-25,7.373
2023-02-26,7.497
2023-02-27,7.274
2023-02-28,7.195
2023-03-01,7.536
2023-03-02,7.275
2023-03-03,6.958
2023-03-04,6.857
2023-03-05,6.945
2023-03-06,6.854
2023-03-07,6.881
2023-03-08,6.577
2023-03-09,6.16
2023-03-10,6.215
2023-03-11,6.162
2023-03-12,6.551
2023-03-13,6.761
2023-03-14,6.96
2023-03-15,6.546
2023-03-16,6.656
2023-03-17,7.207
2023-03-18,6.922
2023-03-19,7.081
2023-03-20,7.05
2023-03-21,7.375
2023-03-22,7.173
2023-03-23,7.61
2023-03-24,7.191
2023-03-25,7.075
2023-03-26,7.261
2023-03-27,6.87
2023-03-28,6.947
2023-03-29,7.382
2023-03-30,7.233
2023-03-31,7.588
2023-04-01,7.548
2023-04-02,7.255
2023-04-03,7.245
2023-04-04,7.37
2023-04-05,7.321
2023-04-06,7.201
2023-04-07,7.267
2023-04-08,7.13
2023-04-09,7.203
2023-04-10,7.343
2023-04-11,7.301
2023-04-12,7.23
2023-04-13,7.458
2023-04-14,7.743
2023-04-15,8.005
2023-04-16,8.14
2023-04-17,8.16
2023-04-18,8.578
2023-04-19,7.752
2023-04-20,7.512
2023-04-21,7.113
2023-04-22,7.175
2023-04-23,7.082
2023-04-24,7.068
2023-04-25,7.274
2023-04-26,7.004
2023-04-27,7.17
2023-04-28,7.04
2023-04-29,7.185
2023-04-30,7.025
2023-05-01,6.898
2023-05-02,6.987
2023-05-03,7.129
2023-05-04,6.998
2023-05-05,7.226
2023-05-06,6.92
2023-05-07,6.911
2023-05-08,6.582
2023-05-09,6.522
2023-05-10,6.588
2023-05-11,6.36
2023-05-12,6.623
2023-05-13,6.491
2023-05-14,6.547
2023-05-15,6.635
2023-05-16,6.659
2023-05-17,6.758
2023-05-18,6.531
2023-05-19,6.51
2023-05-20,6.503
2023-05-21,6.43
2023-05-22,6.533
2023-05-23,6.504
2023-05-24,6.32
2023-05-25,6.278
2023-05-26,6.344
2023-05-27,6.438
2023-05-28,6.631
2023-05-29,6.637
2023-05-30,6.613
2023-05-31,6.478
2023-06-01,6.344
2023-06-02,6.45
2023-06-03,6.421
2023-06-04,6.452
2023-06-05,6.054
2023-06-06,6.261
2023-06-07,5.917
2023-06-08,5.995
2023-06-09,5.993
2023-06-10,5.233
2023-06-11,5.175
2023-06-12,5.16
2023-06-13,5.3
2023-06-14,5.25
2023-06-15,5.312
2023-06-16,5.324
2023-06-17,5.279
2023-06-18,5.156
2023-06-19,5.133
2023-06-20,5.267
2023-06-21,5.556
2023-06-22,5.558
2023-06-23,6.07
2023-06-24,6.133
2023-06-25,6.157
2023-06-26,6.057
2023-06-27,6.198
2023-06-28,5.815
2023-06-29,5.891
2023-06-30,6.313
2023-07-01,6.503
2023-07-02,6.54
2023-07-03,6.628
2023-07-04,6.521
2023-07-05,6.299
2023-07-06,6.08
2023-07-07,6.156
2023-07-08,6.196
2023-07-09,6.15
2023-07-10,6.167
2023-07-11,6.206
2023-07-12,6.252
2023-07-13,7.124
2023-07-14,6.958
2023-07-15,6.918
2023-07-16,6.607
2023-07-17,7.186
2023-07-18,6.911
2023-07-19,6.915
2023-07-20,8.361
2023-07-21,8.133
2023-07-22,7.881
2023-07-23,7.89
2023-07-24,7.586
2023-07-25,7.392
2023-07-26,7.742
2023-07-27,7.989
2023-07-28,7.77
2023-07-29,7.842
2023-07-30,7.555
2023-07-31,7.547
2023-08-01,7.641
2023-08-02,7.351
2023-08-03,7.125
2023-08-04,7.143
2023-08-05,7.231
2023-08-06,7.102
2023-08-07,7.324
2023-08-08,7.461
2023-08-09,7.678
2023-08-10,7.619
2023-08-11,7.492
2023-08-12,7.442
2023-08-13,7.369
2023-08-14,7.412
2023-08-15,7.043
2023-08-16,6.762
2023-08-17,6.189
2023-08-18,6.176
2023-08-19,6.181
2023-08-20,6.22
2023-08-21,6.174
2023-08-22,6.112
2023-08-23,6.352
2023-08-24,6.084
2023-08-25,6.014
2023-08-26,6.006
2023-08-27,6.03
2023-08-28,5.981
2023-08-29,6.194
