Date,Price
2023-02-24,91.55
2023-02-25,93.15
2023-02-26,95.27
2023-02-27,94.07
2023-02-28,93.8
2023-03-01,97.78
2023-03-02,95.39
2023-03-03,90.56
2023-03-04,89.34
2023-03-05,89.93
2023-03-06,87.36
2023-03-07,86.29
2023-03-08,82.76
2023-03-09,76.68
2023-03-10,71.37
2023-03-11,69.21
2023-03-12,76.26
2023-03-13,81.46
2023-03-14,83.94
2023-03-15,76.43
2023-03-16,78.86
2023-03-17,85.51
2023-03-18,83.02
2023-03-19,83.98
2023-03-20,78.05
2023-03-21,82.48
2023-03-22,87.27
2023-03-23,93.61
2023-03-24,93.58
2023-03-25,91.5
2023-03-26,93.32
2023-03-27,89.23
2023-03-28,89.13
2023-03-29,91.31
2023-03-30,89.06
2023-03-31,89.57
2023-04-01,92.57
2023-04-02,92.77
2023-04-03,92.97
2023-04-04,92.58
2023-04-05,92.64
2023-04-06,90.97
2023-04-07,90.6
2023-04-08,89.91
2023-04-09,90.58
2023-04-10,93.78
2023-04-11,94.22
2023-04-12,92.06
2023-04-13,94.17
2023-04-14,96.33
2023-04-15,96.68
2023-04-16,100.01
2023-04-17,98.84
2023-04-18,101.95
2023-04-19,90.47
2023-04-20,90.22
2023-04-21,85.32
2023-04-22,87.0
2023-04-23,86.75
2023-04-24,88.31
2023-04-25,91.03
2023-04-26,88.13
2023-04-27,89.73
2023-04-28,89.63
2023-04-29,91.08
2023-04-30,88.22
2023-05-01,86.75
2023-05-02,88.2
2023-05-03,88.88
2023-05-04,88.38
2023-05-05,88.61
2023-05-06,83.26
2023-05-07,83.42
2023-05-08,77.71
2023-05-09,79.9
2023-05-10,80.93
2023-05-11,80.88
2023-05-12,80.45
2023-05-13,80.26
2023-05-14,83.5
2023-05-15,86.89
2023-05-16,89.99
2023-05-17,93.88
2023-05-18,90.43
2023-05-19,91.8
2023-05-20,92.42
2023-05-21,92.18
2023-05-22,90.83
2023-05-23,91.7
2023-05-24,85.82
2023-05-25,86.57
2023-05-26,87.08
2023-05-27,88.55
2023-05-28,91.45
2023-05-29,90.86
2023-05-30,92.25
2023-05-31,90.42
2023-06-01,94.19
2023-06-02,95.45
2023-06-03,96.03
2023-06-04,94.19
2023-06-05,87.71
2023-06-06,90.92
2023-06-07,88.85
2023-06-08,88.5
2023-06-09,89.3
2023-06-10,77.13
2023-06-11,77.68
2023-06-12,77.5
2023-06-13,77.5
2023-06-14,73.15
2023-06-15,74.6
2023-06-16,76.13
2023-06-17,76.86
2023-06-18,77.19
2023-06-19,77.48
2023-06-20,80.33
2023-06-21,85.05
2023-06-22,85.93
2023-06-23,91.26
2023-06-24,89.71
2023-06-25,88.2
2023-06-26,87.21
2023-06-27,88.07
2023-06-28,83.02
2023-06-29,84.73
2023-06-30,108.7
2023-07-01,107.1
2023-07-02,113.58
2023-07-03,107.27
2023-07-04,104.27
2023-07-05,102.6
2023-07-06,95.25
2023-07-07,98.23
2023-07-08,97.79
2023-07-09,95.08
2023-07-10,96.72
2023-07-11,96.77
2023-07-12,96.21
2023-07-13,101.85
2023-07-14,95.13
2023-07-15,94.78
2023-07-16,92.89
2023-07-17,92.2
2023-07-18,91.56
2023-07-19,91.99
2023-07-20,92.37
2023-07-21,94.09
2023-07-22,92.09
2023-07-23,93.16
2023-07-24,89.14
2023-07-25,89.45
2023-07-26,90.64
2023-07-27,90.6
2023-07-28,91.44
2023-07-29,94.32
2023-07-30,94.03
2023-07-31,92.28
2023-08-01,93.94
2023-08-02,87.54
2023-08-03,82.55
2023-08-04,82.2
2023-08-05,83.12
2023-08-06,82.57
2023-08-07,82.49
2023-08-08,83.86
2023-08-09,84.08
2023-08-10,83.14
2023-08-11,83.58
2023-08-12,83.47
2023-08-13,81.92
2023-08-14,82.11
2023-08-15,79.26
2023-08-16,74.56
2023-08-17,64.77
2023-08-18,63.98
2023-08-19,64.18
2023-08-20,65.25
2023-08-21,67.0
2023-08-22,64.83
2023-08-23,65.64
2023-08-24,64.88
2023-08-25,65.13
