Date,Price
2022-09-12,0.9301
2022-09-13,0.8461
2022-09-14,0.8645
2022-09-15,0.8251
2022-09-16,0.8069
2022-09-17,0.8279
2022-09-18,0.7533
2022-09-19,0.7655
2022-09-20,0.7333
2022-09-21,0.7007
2022-09-22,0.7521
2022-09-23,0.7784
2022-09-24,0.7527
2022-09-25,0.7397
2022-09-26,0.7557
2022-09-27,0.7389
2022-09-28,0.7473
2022-09-29,0.7631
2022-09-30,0.7778
2022-10-01,0.767
2022-10-02,0.7631
2022-10-03,0.8002
2022-10-04,0.8351
2022-10-05,0.8512
2022-10-06,0.8336
2022-10-07,0.8315
2022-10-08,0.8144
2022-10-09,0.8255
2022-10-10,0.8136
2022-10-11,0.7909
2022-10-12,0.7829
2022-10-13,0.775
2022-10-14,0.7933
2022-10-15,0.7892
2022-10-16,0.7984
2022-10-17,0.8482
2022-10-18,0.8642
2022-10-19,0.8445
2022-10-20,0.8094
2022-10-21,0.832
2022-10-22,0.8319
2022-10-23,0.8986
2022-10-24,0.8931
2022-10-25,0.9176
2022-10-26,0.9373
2022-10-27,0.9036
2022-10-28,0.9444
2022-10-29,0.9336
2022-10-30,0.9084
2022-10-31,0.9026
2022-11-01,0.8739
2022-11-02,0.8734
2022-11-03,0.9512
2022-11-04,1.1692
2022-11-05,1.1846
2022-11-06,1.135
2022-11-07,1.2574
2022-11-08,1.044
2022-11-09,0.8165
2022-11-10,1.1245
2022-11-11,1.0643
2022-11-12,0.9396
2022-11-13,0.8894
2022-11-14,0.9177
2022-11-15,0.9417
2022-11-16,0.8981
2022-11-17,0.8743
2022-11-18,0.8795
2022-11-19,0.8762
2022-11-20,0.8069
2022-11-21,0.796
2022-11-22,0.8513
2022-11-23,0.8614
2022-11-24,0.8489
2022-11-25,0.8442
2022-11-26,0.8464
2022-11-27,0.844
2022-11-28,0.8213
2022-11-29,0.8384
2022-11-30,0.933
2022-12-01,0.9089
2022-12-02,0.9488
2022-12-03,0.9029
2022-12-04,0.9212
2022-12-05,0.9116
2022-12-06,0.9176
2022-12-07,0.8973
2022-12-08,0.9276
2022-12-09,0.9097
2022-12-10,0.9082
2022-12-11,0.8922
2022-12-12,0.9107
2022-12-13,0.9244
2022-12-14,0.9026
2022-12-15,0.8787
2022-12-16,0.7953
2022-12-17,0.8156
2022-12-18,0.8126
2022-12-19,0.7737
2022-12-20,0.8012
2022-12-21,0.7938
2022-12-22,0.7966
2022-12-23,0.7991
2022-12-24,0.7958
2022-12-25,0.795
2022-12-26,0.8154
2022-12-27,0.8063
2022-12-28,0.7827
2022-12-29,0.7769
2022-12-30,0.7612
2022-12-31,0.7583
2023-01-01,0.7603
2023-01-02,0.7809
2023-01-03,0.7798
2023-01-04,0.8068
2023-01-05,0.789
2023-01-06,0.7992
2023-01-07,0.8063
2023-01-08,0.8407
2023-01-09,0.8426
2023-01-10,0.8585
2023-01-11,0.8914
2023-01-12,0.9152
2023-01-13,0.9304
2023-01-14,0.9981
2023-01-15,0.9831
2023-01-16,1.0195
2023-01-17,0.9941
2023-01-18,0.938
2023-01-19,0.9528
2023-01-20,1.026
2023-01-21,0.9897
2023-01-22,0.9939
2023-01-23,0.9936
2023-01-24,0.9555
2023-01-25,0.992
2023-01-26,1.124
2023-01-27,1.1588
2023-01-28,1.1442
2023-01-29,1.178
2023-01-30,1.0875
2023-01-31,1.1094
2023-02-01,1.1937
2023-02-02,1.181
2023-02-03,1.246
2023-02-04,1.2545
2023-02-05,1.2028
2023-02-06,1.191
2023-02-07,1.2699
2023-02-08,1.3062
2023-02-09,1.2297
2023-02-10,1.2298
2023-02-11,1.2493
2023-02-12,1.236
2023-02-13,1.1851
2023-02-14,1.2579
2023-02-15,1.3283
2023-02-16,1.3711
2023-02-17,1.5239
2023-02-18,1.4847
2023-02-19,1.4785
2023-02-20,1.4753
2023-02-21,1.3867
2023-02-22,1.3956
2023-02-23,1.3533
2023-02-24,1.265
2023-02-25,1.247
2023-02-26,1.2817
2023-02-27,1.2345
2023-02-28,1.1964
2023-03-01,1.2489
