Date,Price
2023-02-24,0.0892
2023-02-25,0.088
2023-02-26,0.089
2023-02-27,0.0883
2023-02-28,0.0871
2023-03-01,0.088
2023-03-02,0.0875
2023-03-03,0.0857
2023-03-04,0.0837
2023-03-05,0.0827
2023-03-06,0.0835
2023-03-07,0.0827
2023-03-08,0.0816
2023-03-09,0.0771
2023-03-10,0.0781
2023-03-11,0.0788
2023-03-12,0.0822
2023-03-13,0.0844
2023-03-14,0.0883
2023-03-15,0.0837
2023-03-16,0.0845
2023-03-17,0.0879
2023-03-18,0.0856
2023-03-19,0.0877
2023-03-20,0.0863
2023-03-21,0.0963
2023-03-22,0.0908
2023-03-23,0.0924
2023-03-24,0.0887
2023-03-25,0.0907
2023-03-26,0.0918
2023-03-27,0.0925
2023-03-28,0.0977
2023-03-29,0.1017
2023-03-30,0.1064
2023-03-31,0.1122
2023-04-01,0.1082
2023-04-02,0.1066
2023-04-03,0.1064
2023-04-04,0.106
2023-04-05,0.1072
2023-04-06,0.1058
2023-04-07,0.1065
2023-04-08,0.1044
2023-04-09,0.1048
2023-04-10,0.1057
2023-04-11,0.1051
2023-04-12,0.1036
2023-04-13,0.1054
2023-04-14,0.1069
2023-04-15,0.1064
2023-04-16,0.1073
2023-04-17,0.104
2023-04-18,0.1057
2023-04-19,0.0976
2023-04-20,0.0957
2023-04-21,0.0929
2023-04-22,0.0955
2023-04-23,0.0945
2023-04-24,0.0934
2023-04-25,0.0949
2023-04-26,0.0936
2023-04-27,0.0943
2023-04-28,0.0947
2023-04-29,0.0958
2023-04-30,0.0944
2023-05-01,0.0926
2023-05-02,0.0935
2023-05-03,0.0935
2023-05-04,0.0935
2023-05-05,0.0943
2023-05-06,0.0924
2023-05-07,0.0918
2023-05-08,0.0894
2023-05-09,0.089
2023-05-10,0.089
2023-05-11,0.0894
2023-05-12,0.089
2023-05-13,0.0883
2023-05-14,0.0887
2023-05-15,0.088
2023-05-16,0.0879
2023-05-17,0.0888
2023-05-18,0.0888
2023-05-19,0.0892
2023-05-20,0.0888
2023-05-21,0.0881
2023-05-22,0.0882
2023-05-23,0.0883
2023-05-24,0.0866
2023-05-25,0.0872
2023-05-26,0.0877
2023-05-27,0.0882
2023-05-28,0.0887
2023-05-29,0.0892
2023-05-30,0.0908
2023-05-31,0.0925
2023-06-01,0.0911
2023-06-02,0.0919
2023-06-03,0.0919
2023-06-04,0.0913
2023-06-05,0.0879
2023-06-06,0.0898
2023-06-07,0.0873
2023-06-08,0.0871
2023-06-09,0.0889
2023-06-10,0.0821
2023-06-11,0.0835
2023-06-12,0.083
2023-06-13,0.0825
2023-06-14,0.0792
2023-06-15,0.0764
2023-06-16,0.0775
2023-06-17,0.0797
2023-06-18,0.0795
2023-06-19,0.08
2023-06-20,0.0827
2023-06-21,0.0868
2023-06-22,0.0867
2023-06-23,0.0895
2023-06-24,0.0904
2023-06-25,0.0916
2023-06-26,0.0921
2023-06-27,0.1028
2023-06-28,0.1004
2023-06-29,0.1021
2023-06-30,0.1107
2023-07-01,0.1075
2023-07-02,0.1073
2023-07-03,0.1059
2023-07-04,0.1033
2023-07-05,0.1006
2023-07-06,0.096
2023-07-07,0.0974
2023-07-08,0.0997
2023-07-09,0.099
2023-07-10,0.0999
2023-07-11,0.0985
2023-07-12,0.0961
2023-07-13,0.1552
2023-07-14,0.135
2023-07-15,0.1278
2023-07-16,0.1313
2023-07-17,0.1291
2023-07-18,0.1324
2023-07-19,0.1564
2023-07-20,0.1632
2023-07-21,0.1572
2023-07-22,0.1556
2023-07-23,0.1559
2023-07-24,0.1456
2023-07-25,0.1449
2023-07-26,0.1557
2023-07-27,0.1593
2023-07-28,0.1598
2023-07-29,0.1583
2023-07-30,0.1565
2023-07-31,0.15
2023-08-01,0.1537
2023-08-02,0.144
2023-08-03,0.139
2023-08-04,0.1364
2023-08-05,0.1391
2023-08-06,0.1394
2023-08-07,0.1429
2023-08-08,0.1429
